,Temp,Enthalpy,Step,Time
214,1080.09,-4.661441650390625,10300000.0,10.3
215,1085.301,-4.6622314453125,10350000.0,10.35
216,1085.301,-4.6622314453125,10350000.0,10.35
217,1091.311,-4.65814697265625,10400000.0,10.4
218,1092.109,-4.656788330078125,10450000.0,10.45
219,1103.837,-4.654398193359375,10500000.0,10.5
220,1107.94,-4.653829345703125,10550000.0,10.55
221,1099.571,-4.654971923828125,10600000.0,10.6
222,1121.242,-4.64775146484375,10650000.0,10.65
223,1110.833,-4.650245361328125,10700000.0,10.7
224,1128.689,-4.645523681640625,10750000.0,10.75
225,1127.023,-4.64775634765625,10800000.0,10.8
226,1142.773,-4.644022216796875,10850000.0,10.85
227,1144.466,-4.63951171875,10900000.0,10.9
228,1141.141,-4.6395947265625,10950000.0,10.95
229,1154.234,-4.63625,11000000.0,11.0
230,1168.194,-4.634420166015625,11050000.0,11.05
231,1155.956,-4.634549560546875,11100000.0,11.1
232,1191.546,-4.625826416015625,11150000.0,11.15
233,1153.251,-4.63286376953125,11200000.0,11.2
234,1188.157,-4.627933349609375,11250000.0,11.25
235,1183.652,-4.6251220703125,11300000.0,11.3
236,1177.493,-4.626328125,11350000.0,11.35
237,1189.425,-4.6237158203125,11400000.0,11.4
238,1207.263,-4.618868408203125,11450000.0,11.45
239,1194.586,-4.619984130859375,11500000.0,11.5
