,Temp,Enthalpy,Step
601,294.9258,-665377.1,2955000.0
602,294.1843,-665392.7,2960000.0
603,295.1123,-665348.4,2965000.0
604,296.8403,-665329.7,2970000.0
605,297.2219,-665293.5,2975000.0
606,297.3763,-665292.3,2980000.0
607,298.0242,-665276.2,2985000.0
608,299.8365,-665216.1,2990000.0
609,299.5246,-665215.3,2995000.0
610,300.2234,-665201.9,3000000.0
611,299.2771,-665202.7,3005000.0
612,301.0795,-665145.9,3010000.0
613,302.2327,-665122.1,3015000.0
614,302.3144,-665115.4,3020000.0
615,301.5367,-665129.3,3025000.0
616,303.1391,-665073.6,3030000.0
617,303.1672,-665073.6,3035000.0
618,304.9332,-665002.6,3040000.0
619,305.6453,-665016.3,3045000.0
620,306.5924,-664989.2,3050000.0
621,307.0919,-664968.7,3055000.0
622,306.0703,-664957.5,3060000.0
623,308.1869,-664896.1,3065000.0
624,308.9428,-664899.7,3070000.0
625,308.3639,-664885.2,3075000.0
626,310.1048,-664844.4,3080000.0
627,311.6589,-664789.1,3085000.0
628,311.0614,-664798.8,3090000.0
629,312.1622,-664752.5,3095000.0
630,314.0409,-664744.2,3100000.0
631,313.4261,-664713.4,3105000.0
632,313.5914,-664703.8,3110000.0
633,314.5794,-664694.0,3115000.0
634,313.8855,-664702.2,3120000.0
635,316.3141,-664623.2,3125000.0
636,316.1837,-664607.3,3130000.0
637,316.3159,-664583.0,3135000.0
638,317.2724,-664566.5,3140000.0
639,318.1947,-664552.1,3145000.0
640,319.3501,-664515.6,3150000.0
641,319.2956,-664490.7,3155000.0
642,322.1255,-664456.8,3160000.0
643,319.799,-664457.8,3165000.0
644,320.8855,-664426.2,3170000.0
645,321.6567,-664405.3,3175000.0
646,323.132,-664369.6,3180000.0
647,322.8086,-664366.2,3185000.0
648,324.3445,-664311.3,3190000.0
649,325.1119,-664322.8,3195000.0
650,324.5006,-664304.1,3200000.0
651,325.9407,-664264.6,3205000.0
652,326.2992,-664268.2,3210000.0
653,326.1326,-664256.9,3215000.0
654,327.6757,-664208.8,3220000.0
655,329.2293,-664134.1,3225000.0
656,328.4812,-664172.9,3230000.0
657,329.0497,-664143.2,3235000.0
658,329.323,-664124.2,3240000.0
659,329.0896,-664128.5,3245000.0
660,331.241,-664069.1,3250000.0
701,335.3412,-663938.0,3450000.0
702,333.5671,-663949.4,3455000.0
703,333.6559,-664003.5,3460000.0
704,335.6266,-663935.1,3465000.0
705,335.3812,-663975.7,3470000.0
706,334.8759,-663950.7,3475000.0
