,T1,1,T2,2,T3,3,T5,5,T7,7
31,49.87621,-4.946771161441927,49.84845,-4.945783643954376,50.05073,-4.9462269326683295,50.07252,-4.946320815080966,50.05715,-4.946570607388734
32,50.00227,-4.946754162291886,50.04652,-4.945767164059847,50.11197,-4.946198004987531,49.96629,-4.946340503027022,50.08211,-4.946570607388734
33,50.08579,-4.94676816159192,49.94363,-4.945779648828429,50.0633,-4.946255860349128,49.89261,-4.94636511295959,50.01749,-4.946589704660689
34,50.19547,-4.9467641617919105,50.06738,-4.945778650046943,49.96067,-4.946240897755612,50.04926,-4.946335581040508,49.93375,-4.946594478978678
35,50.14604,-4.946747662616869,50.02838,-4.945766664669104,50.11464,-4.946204987531172,50.03862,-4.946350347000049,50.01589,-4.946599253296666
36,50.04759,-4.946789660516974,50.05816,-4.94576916162282,49.9574,-4.946249376558604,50.10936,-4.946350347000049,50.02518,-4.946589704660689
37,49.93785,-4.946794160291986,49.93372,-4.945814106789716,49.90569,-4.946240897755612,50.01325,-4.946355268986563,49.88454,-4.946608801932644
38,49.88052,-4.946798660066996,50.01756,-4.945778650046943,49.90445,-4.946242394014963,49.99,-4.946360190973077,50.02482,-4.946604027614655
39,49.84983,-4.946834658267087,49.94916,-4.94580711531931,49.98827,-4.946240399002494,50.12786,-4.946350347000049,50.11833,-4.946589704660689
40,49.95468,-4.946790660466976,50.03869,-4.945774155530253,49.87181,-4.946253865336659,50.04661,-4.9463454250135355,50.05778,-4.946618350568621
41,49.95468,-4.946790660466976,50.03869,-4.945774155530253,49.87181,-4.946253865336659,50.04661,-4.9463454250135355,50.05778,-4.946618350568621
42,62.4865,-4.943520823958802,62.47189,-4.942546093765606,62.34953,-4.9429930174563586,62.55109,-4.943077225968401,62.16622,-4.94341478319822
43,75.23609,-4.9402529873506325,74.91458,-4.9392745850062925,74.87958,-4.939733665835411,75.00028,-4.939804104936752,74.94538,-4.940077534924136
44,87.23969,-4.937103144842758,87.25694,-4.936034038473062,87.32665,-4.93649825436409,87.63225,-4.936540827878131,87.61308,-4.936840547327814
45,100.2135,-4.933813309334533,99.66106,-4.932934320129442,100.2111,-4.9332977556109725,100.0766,-4.933366146576758,99.80576,-4.933708594727244
46,112.5021,-4.930724963751812,112.7954,-4.929744711452029,112.1945,-4.930205985037407,112.5491,-4.930373578776394,112.4971,-4.930624385306559
47,125.2193,-4.9276861156942156,125.0757,-4.926635504684285,124.8852,-4.92714463840399,124.6974,-4.9273711670030025,125.0992,-4.927630887927659
48,137.4517,-4.924714764261787,137.4591,-4.923596212620603,137.6183,-4.924137655860349,137.0267,-4.924462272973372,137.4956,-4.924723328272556
49,150.1679,-4.92155592220389,149.9099,-4.920592377299695,149.8152,-4.921117206982544,149.8273,-4.921526308017916,149.9582,-4.921748928165612
50,162.96,-4.918550072496375,162.6194,-4.917478676015262,162.3412,-4.91814463840399,162.8409,-4.91853669340946,162.2381,-4.918955952142237
51,175.615,-4.915522723863806,175.6438,-4.914365474121571,175.0885,-4.915217955112219,175.3296,-4.915589900083674,174.8129,-4.916000649307247
52,187.448,-4.912636868156592,187.1928,-4.9115219432292605,187.2831,-4.912367082294264,187.3614,-4.912712998966383,187.4652,-4.913026249200302
53,200.0474,-4.909657517124144,200.0305,-4.908447693813547,199.9489,-4.909376558603491,200.4479,-4.909625436826303,200.3669,-4.910056623411346
54,212.5255,-4.9066461676916155,212.9175,-4.90547432132798,212.4716,-4.906435910224439,212.5212,-4.906720480385884,212.6913,-4.90719203261814
55,225.608,-4.9036773161341936,224.4408,-4.902719681987975,225.0258,-4.903392019950124,224.0519,-4.903939558005611,225.5222,-4.904126920469411
