,T,Enth
416,570.1169,-655401.1
417,569.1204,-655343.2
418,571.5258,-655330.8
419,573.3482,-655265.6
420,573.112,-655225.9
421,575.778,-655204.7
422,576.3292,-655125.9
423,577.9085,-655094.0
424,581.4092,-654971.3
425,579.0126,-654995.7
426,583.2451,-654885.1
427,583.1892,-654886.4
428,584.131,-654766.4
429,586.435,-654798.3
430,586.134,-654791.0
431,585.7562,-654752.8
432,588.1384,-654680.8
433,591.5492,-654611.8
434,591.3399,-654562.8
435,595.0533,-654512.5
436,594.639,-654464.4
437,595.4515,-654453.4
438,597.3639,-654369.1
439,598.749,-654325.2
440,600.6163,-654265.1
441,598.7987,-654205.0
442,602.6137,-654203.1
443,605.2196,-654144.3
444,605.5954,-654081.7
445,604.6916,-654120.2
446,609.9852,-653980.2
447,607.9402,-653999.0
448,610.2916,-653881.3
449,611.2571,-653875.8
450,610.6958,-653836.7
451,613.9285,-653774.0
452,612.6131,-653787.6
453,616.6781,-653715.8
454,615.2858,-653680.5
455,615.0895,-653651.3
456,619.939,-653533.0
457,619.5219,-653542.5
458,624.2056,-653407.4
459,622.1996,-653448.3
460,623.838,-653416.0
461,628.1478,-653286.6
462,625.9899,-653347.2
463,628.915,-653205.9
464,630.6108,-653136.6
465,628.8422,-653175.3
466,633.9828,-653019.7
467,635.04,-652983.4
468,635.0658,-652986.1
469,633.9517,-652979.2
470,638.2213,-652875.4
471,639.2003,-652831.5
472,640.7666,-652787.1
473,641.496,-652744.2
474,639.5328,-652738.5
475,642.7312,-652651.0
476,640.7297,-652707.5
477,645.5643,-652548.4
478,644.1897,-652541.9
479,649.4783,-652454.5
480,649.8375,-652411.9
481,653.1407,-652351.8
482,648.0948,-652407.0
483,651.6294,-652340.8
484,655.181,-652186.5
485,656.5183,-652156.5
486,656.8956,-652128.0
487,657.6387,-652152.6
488,656.3453,-652135.4
489,662.3504,-652001.2
490,661.264,-651951.1
491,667.6685,-651867.2
492,667.2042,-651849.7
493,667.443,-651832.0
494,670.5448,-651696.7
495,667.5805,-651703.6
496,667.7906,-651706.5
497,671.6688,-651609.3
498,671.0982,-651616.0
499,672.3988,-651600.6
500,675.2669,-651469.4
501,675.7767,-651487.0
502,678.4044,-651343.9
503,680.2593,-651301.5
504,680.498,-651269.3
505,681.8345,-651267.6
506,683.1901,-651179.8
507,684.895,-651102.5
508,685.1536,-651098.1
509,685.6333,-651045.2
510,685.6848,-651019.0
511,689.6829,-650906.4
512,688.0755,-650965.9
513,691.5175,-650827.4
514,692.8855,-650840.5
515,694.866,-650780.0
516,694.18,-650761.4
517,697.1065,-650600.6
518,697.7393,-650592.6
519,696.9131,-650596.0
520,698.8908,-650555.2
521,701.8036,-650485.4
522,704.9793,-650351.8
523,704.0432,-650329.2
524,705.9124,-650285.0
525,705.2706,-650318.4
526,708.5376,-650218.0
527,707.5003,-650241.7
528,710.6922,-650096.5
529,711.6042,-650155.4
530,714.2972,-649979.0
531,712.8895,-649982.4
532,715.8789,-649974.0
533,717.0022,-649873.6
534,718.1844,-649853.4
535,717.1891,-649864.5
536,718.902,-649798.3
537,720.7423,-649737.9
538,719.7692,-649701.7
539,723.3783,-649590.2
540,727.5076,-649506.0
541,724.8701,-649517.2
542,727.8925,-649435.1
543,728.2514,-649459.1
544,730.9331,-649287.0
545,732.2967,-649303.9
546,733.386,-649242.7
547,732.4281,-649272.7
548,735.353,-649117.7
549,736.5115,-649161.0
550,737.6029,-649047.8
551,738.8299,-649008.6
552,740.3622,-648999.2
553,742.1034,-648880.6
554,742.884,-648897.9
555,743.011,-648869.4
556,743.9118,-648815.6
557,745.8614,-648749.7
558,748.0064,-648615.4
559,749.0406,-648683.2
560,749.7544,-648620.0
561,754.1878,-648528.9
562,753.1697,-648489.7
563,750.9663,-648518.9
564,753.8538,-648425.4
565,753.3532,-648377.1
566,757.0797,-648375.0
567,757.8828,-648206.9
568,756.6906,-648285.0
569,761.5104,-648118.3
570,760.2942,-648169.8
571,765.3791,-648025.9
572,763.662,-648018.4
573,765.4502,-647995.9
574,767.7559,-647816.3
575,769.5593,-647841.1
576,765.7059,-647846.7
577,773.9461,-647701.4
578,772.0839,-647647.5
579,773.3982,-647605.2
580,774.9746,-647568.2
581,776.0191,-647547.8
582,777.0394,-647564.4
583,776.8471,-647484.7
584,783.2006,-647416.8
585,780.5214,-647344.4
586,784.4316,-647288.3
587,784.9878,-647198.4
588,786.8638,-647070.7
589,785.9621,-647186.0
590,786.8362,-647074.4
591,790.1705,-647028.2
592,786.064,-647096.2
593,794.4152,-646824.8
594,790.9051,-646917.1
595,792.6964,-646856.2
596,791.5617,-646761.5
597,797.994,-646665.2
598,798.1994,-646689.1
599,797.1486,-646601.3
600,798.2442,-646589.0
601,800.1388,-646585.5
602,802.7206,-646427.7
603,806.894,-646373.8
604,809.0809,-646293.7
605,808.9196,-646243.3
606,805.2007,-646265.3
607,806.331,-646246.4
608,810.2561,-646127.7
609,812.701,-646097.6
610,814.5263,-646011.8
611,811.9939,-646002.2
612,813.9587,-645877.1
613,815.0827,-645887.1
614,814.7016,-645918.3
615,815.6898,-645806.3
616,818.1839,-645719.1
617,821.1424,-645662.6
618,824.8621,-645550.1
619,823.9257,-645527.2
620,827.2357,-645390.9
621,825.465,-645437.2
622,827.7784,-645359.1
623,831.9215,-645256.2
624,830.84,-645218.8
625,832.8441,-645130.7
626,834.586,-645094.7
627,830.0375,-645152.3
628,834.8322,-645036.4
629,835.268,-644970.5
630,839.283,-644876.8
631,838.3475,-644801.9
632,838.8654,-644869.3
633,840.9764,-644796.1
634,844.3085,-644572.9
635,847.2825,-644591.2
636,845.9182,-644576.5
637,846.9901,-644465.9
638,846.2303,-644418.0
639,845.9204,-644438.1
640,851.9348,-644300.7
641,851.6034,-644239.8
642,851.4187,-644294.8
643,853.649,-644173.5
644,857.1717,-644058.7
645,857.0431,-643956.8
646,859.2262,-643933.9
647,855.9292,-643965.3
648,860.0487,-643823.0
649,862.5059,-643783.0
650,864.9292,-643640.1
651,863.9017,-643574.8
652,863.6529,-643566.8
653,869.007,-643443.2
654,866.6793,-643380.4
655,867.2802,-643400.1
656,870.4921,-643267.0
657,870.9162,-643205.0
658,869.5616,-643254.3
659,874.6122,-643098.3
660,873.5779,-643057.7
661,876.3367,-642911.3
662,879.0868,-642866.8
663,880.2012,-642778.4
664,881.2125,-642755.3
665,882.6379,-642682.1
666,879.2311,-642715.8
667,885.0789,-642494.1
668,881.2714,-642571.8
669,887.697,-642298.9
670,889.7832,-642275.5
671,888.8024,-642236.5
672,889.035,-642229.7
673,889.4926,-642097.7
674,891.9975,-642058.2
675,891.7644,-641956.7
676,895.604,-641896.6
677,896.8264,-641760.9
678,896.8643,-641715.7
679,897.647,-641642.4
680,899.2034,-641503.1
681,899.1821,-641521.5
682,905.1609,-641267.8
683,903.0406,-641249.3
684,904.7703,-641166.7
685,909.6329,-640995.8
686,906.2193,-640999.8
687,910.2821,-640932.0
688,908.9911,-640852.0
689,915.2903,-640667.9
690,912.487,-640627.2
691,911.8461,-640563.1
692,917.3519,-640369.3
693,916.504,-640338.6
694,915.3423,-640167.1
695,915.2087,-640214.2
696,923.1806,-640044.6
697,918.3239,-640057.7
698,921.0062,-639942.9
699,919.9465,-639821.9
700,923.7708,-639729.0
701,921.7192,-639692.5
702,927.0208,-639531.9
703,926.4034,-639552.7
704,930.0103,-639380.0
705,932.637,-639290.0
706,932.6716,-639209.7
707,935.5947,-639111.1
708,935.256,-639058.2
709,934.5146,-638988.0
710,933.7587,-638957.3
711,939.149,-638867.7
712,942.7558,-638783.6
713,939.2772,-638715.4
714,941.0867,-638682.8
715,944.067,-638547.6
716,945.8629,-638519.7
717,945.6631,-638495.1
718,946.6117,-638352.8
719,949.504,-638298.0
720,948.1936,-638275.1
721,952.3533,-638149.7
722,949.8999,-638128.5
723,951.5079,-638070.6
724,957.2464,-637984.4
725,955.5701,-637931.5
726,960.1523,-637767.3
727,958.3614,-637802.8
728,957.0224,-637701.6
729,960.9856,-637595.6
730,964.5992,-637484.7
731,963.829,-637446.0
732,966.7286,-637399.7
733,966.6899,-637391.5
734,973.087,-637285.8
735,968.6748,-637298.1
736,968.2451,-637238.4
737,973.2121,-637129.1
738,970.5086,-637111.7
739,973.2354,-637006.7
740,976.5531,-636932.9
741,976.5241,-636847.5
742,980.5074,-636645.2
743,981.2205,-636632.4
744,980.6231,-636673.4
745,981.4931,-636612.6
746,985.9507,-636474.6
747,980.3131,-636543.0
748,986.3665,-636428.8
749,988.2043,-636203.0
750,983.8935,-636348.9
751,988.2549,-636313.8
752,986.8553,-636227.4
753,987.2198,-636256.2
754,995.6797,-635933.4
755,995.0543,-635931.6
756,995.774,-635906.4
757,996.6308,-635819.8
758,995.1838,-635775.4
759,997.1808,-635796.2
760,1001.514,-635654.9
